,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
37,2015,238090,SE.PRM.UNER.FE,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
38,2019,274164,SE.PRM.UNER.FE,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
39,2020,261999,SE.PRM.UNER.FE,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
40,2015,580070,SE.PRM.UNER.FE,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA
41,2015,1246776,SE.PRM.UNER.FE,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
42,2016,1175863,SE.PRM.UNER.FE,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
43,2017,1226657,SE.PRM.UNER.FE,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
44,2018,1127796,SE.PRM.UNER.FE,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA
45,2015,231900,SE.PRM.UNER.FE,USA,United States,North America,High income,Not classified
46,2016,52078,SE.PRM.UNER.FE,USA,United States,North America,High income,Not classified
47,2018,76669,SE.PRM.UNER.FE,USA,United States,North America,High income,Not classified
48,2019,101961,SE.PRM.UNER.FE,USA,United States,North America,High income,Not classified
49,2015,158464,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
50,2016,162583,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
51,2017,195402,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
52,2018,197643,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
53,2019,199509,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
54,2020,187605,SE.PRM.UNER.FE,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
